input,is_pd_id,split
B000B9HU6W,yes,eval
B006GPBQPQ,yes,train
A3B12JZtradi,no,train
A1CW9R4ROHVSYH,yes,train
JalapenT3S(X,no,train
A15KBOFl aboar,no,train
AVPIZKM3L3G74,yes,train
A2YSXGDM2GVZZE,yes,train
^K9QQM4W9NC9,no,train
B001RQGBGI,yes,train
This isAWMDC7,no,train
B000NY6PDY,yes,train
donut house co,no,train
A31SS9CXYDN776,no,train
)004721&M5,no,train
Buy2thi4LC63H,no,train
perfect traini,no,train
AQ2Q2DGL6TP5E,no,eval
B00385KYXC,yes,train
ACP6122GM4,no,train
A3IOT14GHWD6J7,yes,train
B003OR0O66,yes,train
A3NGWY7VWMLBEO,yes,train
A360OR7C1KF7YP,yes,train
A38YN6Oar ,no,train
B007M0I8JG,no,train
B000FMZO90,yes,train
"Pretty, Pretty",no,train
^YSMC5-3M ,no,train
A2F8VVWPBM85WR,yes,train
ANJSMWN361NSG,yes,train
"A%IZQ8Aanter,",no,train
4OLID GNLT7WK,no,train
f4b heaity r,no,eval
4008OK2STPD,no,train
PeacefuJ49O,no,eval
B003S1TQ4O,yes,train
A3QJMDSZ7J1X9R,yes,train
B000K9nd smel,no,train
A3IVU9P52WQGIF,yes,train
A2GBHZIZFBJOQK,yes,train
The salt water,no,train
A102MU6ZC9H1N6,yes,train
B0011JGF1YX5B+,no,train
A1PBHV10IA,no,train
ALW24GRT8+,no,train
A2CYH03ut 1,no,train
AQMDSQNGGLM30,no,train
B000SU1LUU,yes,train
A25IR5X0EPZ,no,train
A2PZ9MVMRP3MC7,yes,eval
B0011 for b,no,train
Bes) o0M1F8K7,no,eval
A2VIS6Ded waf,no,eval
A1BUDTZYS4WVG3,yes,eval
A10XQV3YGD13HL,no,eval
A3KGB368JWTVVI,yes,train
Jilly Ld h8,no,train
B0083T6HC0,yes,train
B0042UA47I,yes,train
B001EO5XJY,no,train
The Flavor Sne,no,train
B001BM6TE2,yes,train
B001AYBFJK,no,train
A3EN9H11OBY5A0,yes,eval
A1899HES91UE3G,no,train
B000VZPYFA,yes,train
AM2QP9LCNVQG4,no,train
A2J5RHUUIOK4J,yes,train
A3PJ406R0N5B,no,train
A361SYT8FH2496,no,train
A1COCQJY7QGWO,yes,train
Great Oysters!,no,eval
A17W5F7NOFI9XY,yes,train
A3I57Z8ABZZK97,yes,train
B0038B39E2,yes,train
Buttered Popco,no,train
B003RM9SA6,no,eval
B002LANN56,yes,train
B003Y62V7M,yes,eval
A25ARM53L6J31F,yes,eval
A1TFZNZQVPMRNU,yes,train
Ch-Ch-C030,no,train
ATFFGFG009RHD,yes,train
#oc-R3VPYGC8EA,yes,train
A2BQW6IJ6YX2X,yes,train
Bet9er 7OYC6Y9,no,eval
Egg Free and T,no,eval
AP5E15NQUYN8V,yes,eval
A2KYFI19B1DKR4,yes,train
B0021LEDE0,yes,train
A2JI797TONH993,yes,train
Coco-Puffs for,no,train
A2JJ6TNNJTIAGG,yes,train
A19GF6XRWXOFOT,yes,train
Healthy*XX,no,train
A3SS0I3QM8L2PS,no,train
A1RJE7YNY4X0NZ,no,train
Beautiful !,no,eval
A4IUJLT6XOZAP,yes,train
A1PM2X8MXF0FHG,yes,train
B00563B2MG,yes,train
A3PEKG3ro(d,no,train
A1NRHRFRTAE0VH,yes,train
A1SMLFVSUZGY7B,yes,train
AELHSOFSUUOJU,yes,eval
AY02MJWB7I,no,train
AESK6HO73YC6D,yes,train
A1NS6O584WD5FJ,yes,train
AZ74BPOWPMO8J,no,train
A3DDOZAZ2LJGHG,no,train
B003H7FGSY,no,train
A2PHY596EINIKP,yes,train
B000V1JVAI,yes,eval
A3QUNXKBI7JOHI,yes,train
A2ZIFJT0DNHNZN,yes,train
OrganicT Sal@,no,train
A1FQCKQylitol,no,train
A1WAVO7HTVFPER,yes,train
Four deber,no,train
A1ATRIJLF2230Z,yes,train
B501S1+200,no,train
ANUEIQBZQFNVE,no,train
A1RQI0TDWKA7Q5,yes,eval
M&M'S MINIS,no,train
B000LKTQAE,no,train
VERRYSWEET,no,eval
B004WJAUR8,yes,train
improved fresh,no,eval
AGNK9ATZTSVH6,yes,train
B0040HQO04,yes,eval
rainbow cookie,no,train
A3U8NSA46K09TI,yes,eval
Pleasan6K2B6,no,train
A1DHQGC6D09H9P,yes,train
B0025VF8TK,yes,train
Baron+t 19,no,eval
AR0BP66Y0IEA5,no,train
Thank you gift,no,eval
A40749QBSP5TF,yes,train
AI30C468A6UD9,yes,train
M&ch cQHCB9,no,train
B00170NWEI,yes,train
A2QQWBHZNZCUH1,yes,train
A2W5UED3JU3AYC,no,train
A3V2CU7FVJPQ1A,yes,train
AS6H78AHJTF38,yes,train
A1MCA1EGJEH5T0,yes,eval
great 308D,no,train
A3^6KL3G2HHU8,no,eval
A2FC5GTUJ2Y5U1,yes,eval
AZZP14UZ813US,yes,train
A3JC6XW P9werf,no,train
Emer*e$BRE,no,eval
A1JANFHYNNKRYN,no,eval
A12DU5M8U6QGIG,yes,train
